run_name,a_source,a_source_label,lambda_rrr,mask_frac,iteration,jetclass_test_acc,jetclass_test_auc,aspen_strong3
rrr_findanother_seed52_smoothgrad_lam1_mask0p05,smoothgrad,SmoothGrad,1.0,0.05,1,0.71116,0.9555323049629628,0.6076376695134552
rrr_findanother_seed52_smoothgrad_lam1_mask0p05,smoothgrad,SmoothGrad,1.0,0.05,2,0.69858,0.9528548278271606,0.6610153925442058
rrr_findanother_seed52_smoothgrad_lam1_mask0p05,smoothgrad,SmoothGrad,1.0,0.05,3,0.69886,0.9534765372592592,0.6449556232542161
rrr_findanother_seed52_smoothgrad_lam1_mask0p05,smoothgrad,SmoothGrad,1.0,0.05,4,0.7004266666666666,0.9536634136543208,0.7231410836291704
rrr_findanother_seed52_smoothgrad_lam1_mask0p05,smoothgrad,SmoothGrad,1.0,0.05,5,0.7015733333333334,0.9538039068641976,0.5720740668131955
rrr_findanother_seed52_smoothgrad_lam1_mask0p10,smoothgrad,SmoothGrad,1.0,0.1,1,0.7093266666666667,0.9551590152592592,0.585228511885249
rrr_findanother_seed52_smoothgrad_lam1_mask0p10,smoothgrad,SmoothGrad,1.0,0.1,2,0.70012,0.953115410888889,0.7008098459267504
rrr_findanother_seed52_smoothgrad_lam1_mask0p10,smoothgrad,SmoothGrad,1.0,0.1,3,0.6997333333333333,0.9537099739753088,0.6822724815604809
rrr_findanother_seed52_smoothgrad_lam1_mask0p10,smoothgrad,SmoothGrad,1.0,0.1,4,0.7015266666666666,0.9538768685679012,0.753543407657264
rrr_findanother_seed52_smoothgrad_lam1_mask0p10,smoothgrad,SmoothGrad,1.0,0.1,5,0.7037733333333334,0.9543800655802468,0.5323308294351118
rrr_findanother_seed52_smoothgrad_lam1_mask0p20,smoothgrad,SmoothGrad,1.0,0.2,1,0.7102266666666667,0.9552571137777776,0.6140445240227984
rrr_findanother_seed52_smoothgrad_lam1_mask0p20,smoothgrad,SmoothGrad,1.0,0.2,2,0.7019733333333333,0.953540026395062,0.7449660056345371
rrr_findanother_seed52_smoothgrad_lam1_mask0p20,smoothgrad,SmoothGrad,1.0,0.2,3,0.7034666666666667,0.9541932205185184,0.640940430791808
rrr_findanother_seed52_smoothgrad_lam1_mask0p20,smoothgrad,SmoothGrad,1.0,0.2,4,0.7031866666666666,0.954169857530864,0.7210679585423012
rrr_findanother_seed52_smoothgrad_lam1_mask0p20,smoothgrad,SmoothGrad,1.0,0.2,5,0.70604,0.9547439062469136,0.6606320563910733
rrr_findanother_seed52_smoothgrad_lam1_mask0p30,smoothgrad,SmoothGrad,1.0,0.3,1,0.71034,0.9553621578024692,0.662777748439704
rrr_findanother_seed52_smoothgrad_lam1_mask0p30,smoothgrad,SmoothGrad,1.0,0.3,2,0.7026933333333333,0.9537972131111112,0.735195402082199
rrr_findanother_seed52_smoothgrad_lam1_mask0p30,smoothgrad,SmoothGrad,1.0,0.3,3,0.7044933333333333,0.9543290234567902,0.6171039890505128
rrr_findanother_seed52_smoothgrad_lam1_mask0p30,smoothgrad,SmoothGrad,1.0,0.3,4,0.7043466666666667,0.9543532010617284,0.6975947686140672
rrr_findanother_seed52_smoothgrad_lam1_mask0p30,smoothgrad,SmoothGrad,1.0,0.3,5,0.7067533333333333,0.9549848037283952,0.6302001108593586
